,precision,recall,f1,support,predicted_positive
Cytoplasm,0.8086696562032885,0.7936430317848411,0.8010858835143139,2045.0,2007.0
Endoplasmic Reticulum,0.7805486284289277,0.7017937219730942,0.7390791027154664,446.0,401.0
Golgi Apparatus,0.7659574468085106,0.7035830618892508,0.733446519524618,307.0,282.0
Membrane,0.8762463343108504,0.8137254901960784,0.843829426715617,1836.0,1705.0
Mitochondrion,0.8995633187772926,0.7803030303030303,0.8356997971602435,528.0,458.0
Nucleus,0.8935384615384615,0.7670364500792393,0.8254690164866402,1893.0,1625.0
Peroxisome,0.875,0.7241379310344828,0.7924528301886793,29.0,24.0
Secreted/Extracellular,0.8621323529411765,0.8605504587155963,0.8613406795224977,545.0,544.0
Vacuole,0.8205128205128205,0.6037735849056604,0.6956521739130435,53.0,39.0
